fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24
-2.5424569,-0.15340067,-0.70545495,0.720523,-0.68036515,0.12431364,-0.79478705,0.12612106,-0.7893846,-0.5318044,0.33271128,-0.4548346,-0.39959887,-0.8003146,0.6038644,0.41032705,-0.6669579,-0.49274608,-0.14502977,-0.096305355,-0.026033044,-0.019693416,-0.13056527,-0.25893915,0.1196457,-0.8297562
-2.9756994,0.64841133,-0.15148316,0.6315936,-0.6068988,-0.25618222,0.114703774,0.0442338,-0.3834429,-0.7591676,0.7895766,-0.18316136,0.013754866,-0.18200015,-0.7033955,-0.5577492,-0.42478144,0.6327188,0.62634575,-0.05219351,0.17592645,0.035374224,0.050760746,-0.2067752,-0.43259016,-0.4822662
-1.8541898,-0.117902875,0.34392184,-0.58132595,0.62423337,0.8575121,-0.06606342,-0.069524735,0.46019113,0.41455168,0.10081547,-0.44177267,0.033516284,-0.22154045,-0.38066328,0.38763678,-0.41478094,-0.11774632,-0.42390603,-0.030950185,0.17545249,0.18643092,-0.58010876,-0.3070927,-0.9376776,-0.18159716
-1.9896208,-0.09753688,0.7886242,-0.29427657,-0.7195584,0.18772028,-0.2651913,-0.6616402,-0.34300548,0.11223347,0.46438766,0.23302637,-0.97316617,-1.7265319E-4,0.16610709,-0.4440273,-0.8465112,0.83119494,0.42702094,0.069182925,-0.9538322,0.17150693,-0.6339365,0.09105158,-0.23281877,-0.20966311
-1.1831985,-0.18085688,-0.15187073,-0.6338641,-0.22694671,0.56079906,-0.18233253,0.5347464,0.44951838,-5.178254E-4,-0.7623893,0.47580636,0.46704724,-0.29822946,-0.5336499,0.71519613,0.73869026,-0.6634971,-0.5145707,-0.5827175,0.08748388,-0.5553202,-0.7566477,0.5509035,0.8458702,0.2562752
-1.5871483,-0.15775384,0.48133644,-0.9533907,-0.2407957,0.12683506,-0.6508023,-0.31400478,0.5757786,-0.37978926,0.6161919,-0.36982107,0.5930852,-0.19262339,0.34786576,0.655214,-0.17459174,-0.6617917,0.28347772,0.48428375,-0.6340018,0.29751816,-0.32020926,0.24683984,0.19536568,0.24903981
-0.5376846,-0.67234594,0.20212281,0.4017948,0.678298,0.3695729,0.39367396,0.4963402,0.0862474,-0.1999043,0.9517046,-0.41378012,-0.79231435,-0.52447903,0.12868986,-0.53376514,-0.33271447,-0.004026532,0.34624743,-0.47243083,-0.027175564,0.81667686,-0.47997227,0.80008066,-0.16770373,-0.33998895
-2.7033825,0.35889226,0.45257297,-0.11415875,-0.20548573,-0.5767614,0.96010756,0.4648589,0.32220647,-0.9100964,-0.9997026,-0.14945836,-0.21447751,0.86004335,-0.055239648,-0.66132563,-0.41016063,-0.30341518,0.42430025,0.21153872,0.2713326,-0.34141946,-0.37047464,0.057281062,-0.48676383,-0.43448824
-2.3093276,0.58364886,0.051649693,-0.6367428,0.7137686,0.36419085,-0.4573046,-0.31227478,-0.01755759,0.42856163,-0.23273897,-0.16764499,-0.2828844,-0.28519082,-0.41790652,-0.88533497,-0.35151777,0.113439016,-0.4189084,0.7359268,0.13052154,-0.016927082,-0.36707968,-0.15602066,-0.95222443,-0.72910094
-1.6625223,0.29775074,0.41078264,-0.6795057,-0.15014505,-0.89157885,-0.10765996,-0.015179576,0.058448248,0.05666166,-0.38341358,-0.13905565,-0.35868993,-0.30504078,-0.20025297,-0.72526747,-0.043513894,0.882937,0.56808794,-0.26911986,0.41207808,0.04963014,-0.26403084,0.24626207,0.722475,0.27036706
-1.7355053,-0.15971819,0.4949741,-0.6165383,-0.86883163,-0.99045444,0.2591915,-0.095832214,-0.16042851,0.032539215,0.5268496,0.011866538,-0.63914496,-0.505458,-0.16115321,0.13838862,-0.9753064,-0.0022023944,-0.16543563,-0.31602284,-0.2561084,-0.66516376,0.02768214,-0.8203926,0.26567888,0.7958146
-1.9104952,-0.13218506,-0.31412885,0.89901805,0.28858805,0.14421865,0.12598035,-0.29160056,-0.8841656,-0.39171126,0.05044386,-0.6134134,0.35491097,-0.96810853,-0.7787416,-0.10892041,-0.95840156,0.4967234,0.44711676,0.31756163,-0.7588742,-0.5042532,0.5881932,-0.49723232,-0.0117775975,0.2550445
